Term,IDF
википедия,0.043943
свободный,0.043943
энциклопедия,0.043943
заглавный,0.043943
материал,0.043943
стабильный,1.286304
версия,0.043943
отпатрулировать,1.736966
март,0.152003
перейти,0.043943
навигация,0.043943
поиск,0.043943
редактировать,4.321928
язык,0.043943
создать,0.761213
статья,0.268817
справка,2.736966
портал,1.321928
шаблон,1.395929
обычный,2.556393
заголовок,3.836501
избранный,1.473931
кылычарслан,2.473931
осман,2.736966
тур,1.943416
ум,2.395929
сельджукский,2.395929
султан,2.184425
рум,2.836501
старший,1.785875
сын,1.473931
месуд,2.836501
участвовать,1.395929
военный,0.68966
кампания,1.836501
данышмендид,3.643856
крестоносец,2.556393
захватить,1.395929
эльбистан,3.643856
отдать,1.943416
регион,0.862496
управление,1.358454
заболеть,3.321928
собрать,2.058894
трое,2.395929
присутствие,2.736966
эмир,2.556393
объявить,1.029146
султаномсоправитель,4.643856
смерть,1.217591
течение,1.029146
правление,1.643856
бороться,2.251539
объединение,2.0
власть,0.761213
территория,0.761213
анатолий,1.785875
артукида,3.473931
византия,2.251539
опасный,2.0
мусульманский,2.120294
противник,1.836501
атабек,3.321928
алеппо,2.643856
нуреддин,3.184425
махмуд,2.643856
отношение,0.915936
политика,0.043943
меняться,2.943416
этап,2.058894
воевать,2.395929
император,1.836501
бросить,2.556393
покорение,3.836501
анатолийский,3.184425
ездить,3.184425
константинополь,2.556393
заключить,1.888969
мануил,2.736966
комнином,3.643856
союзный,2.251539
договор,1.473931
туркменский,2.643856
набег,2.836501
византийский,1.943416
вынудить,1.943416
организовать,1.785875
закончиться,2.473931
победа,1.217591
битва,1.556393
мириокефал,3.184425
разделить,1.888969
султанат,2.251539
оставить,1.736966
конья,2.643856
верховный,1.785875
кутбеддин,3.643856
меликшах,3.184425
напасть,2.643856
заставить,2.556393
наследник,2.251539
сбежать,2.736966
младший,2.0
гияседдин,4.058894
кейхосров,3.473931
направиться,3.184425
столица,1.152003
прогнать,4.058894
бежать,2.0
аксарай,3.058894
вскоре,1.556393
осаждна,4.058894
кейхосровый,3.836501
осада,2.0
август,0.454032
умереть,1.599462
наследовать,3.184425
кейхоср,3.473931
свергнуть,2.643856
рукнеддин,3.473931
сулейманша,3.473931
читать,2.943416
кандидат,2.0
просмотр,0.043943
катастрофа,2.058894
либревиль,2.736966
самолт,2.395929
идентичный,4.058894
потерпеть,2.184425
крушение,3.058894
авиационный,2.736966
произойти,1.184425
апрель,0.514573
побережье,1.736966
габон,2.395929
принадлежать,1.599462
ввс,2.321928
замбия,2.473931
рейс,3.473931
лусака,3.058894
дакар,2.943416
сенегал,2.556393
намереваться,3.184425
совершить,2.0
остановка,3.643856
техобслуживание,4.058894
борт,2.736966
находиться,0.736966
член,0.971431
экипаж,2.943416
пассажир,3.473931
составлять,1.029146
игрок,2.643856
национальный,0.736966
сборная,2.0
футбол,1.888969
направляться,2.943416
матч,2.321928
отборочный,3.643856
цикл,3.184425
чемпионат,2.120294
тренерский,4.321928
штаб,2.395929
замбийский,3.836501
президент,1.184425
футбольный,2.321928
ассоциация,2.184425
журналист,1.943416
самолта,3.321928
выявить,3.184425
некий,2.473931
неполадка,4.321928
левый,1.888969
двигатель,3.836501
решение,1.321928
продолжить,2.058894
полт,2.473931
вылет,3.643856
отказать,2.736966
проблема,1.251539
пилот,3.058894
непонятный,4.321928
выключить,4.058894
работоспособный,4.058894
правый,2.120294
рухнуть,3.473931
атлантический,3.321928
океан,2.643856
габонский,3.473931
погибнуть,1.251539
список,0.836501
декоративный,4.321928
изображение,1.556393
глава,0.810966
правительство,1.358454
эфиопия,2.473931
предыдущий,1.836501
награда,1.599462
номинация,2.943416
фильм,1.68966
побыть,4.058894
шкура,4.058894
иисус,2.943416
христос,2.556393
спать,4.058894
ученик,2.643856
апостол,2.943416
елеонский,4.321928
гора,1.556393
церковный,2.736966
фигура,2.556393
датироваться,3.473931
аббатство,4.321928
сенмишельдекукс,4.643856
коммуна,3.321928
кодалет,4.643856
департамент,3.058894
восточный,1.029146
пиренеи,4.058894
франция,1.152003
рыхлый,4.643856
конституция,1.943416
наблюдаться,2.643856
бык,4.058894
лимузинский,5.058894
порода,3.321928
животное,2.120294
илл,4.321928
японский,2.643856
культовый,3.836501
манга,3.473931
предвыборный,4.321928
ресторан,3.836501
невский,4.643856
славиться,4.643856
скандал,3.058894
богема,5.058894
пережить,2.836501
французский,0.971431
блюдо,3.473931
подавать,3.643856
перестать,3.184425
участие,0.043943
голливудский,4.321928
актр,2.736966
внести,2.643856
реестр,3.473931
библиотека,1.785875
конгресс,2.643856
сша,1.0
финляндия,2.643856
зал,2.473931
международный,0.915936
федерация,1.68966
хоккей,2.943416
израиль,1.836501
заявить,1.556393
обязать,2.736966
обладатель,3.321928
носить,2.251539
клипарта,5.643856
лампочка,5.643856
символ,1.556393
декабрь,0.37707
днм,2.943416
итальянский,1.785875
переехать,3.643856
газа,3.643856
поддержать,1.943416
палестинец,4.643856
похитить,3.321928
убить,1.514573
местный,1.184425
джихадист,4.321928
житель,0.943416
конго,2.321928
уверить,4.643856
детисолдат,5.643856
обладать,2.120294
магический,4.321928
ссср,1.434403
депортировать,4.321928
польский,2.184425
еврей,2.395929
восполнение,5.058894
трудовой,3.184425
резерв,3.184425
богатый,1.943416
природный,2.473931
ресурс,0.810966
северный,0.915936
преподавательница,5.643856
пожертвовать,4.321928
миллиард,2.643856
доллар,2.473931
медицинский,2.395929
колледж,3.184425
обучение,3.184425
нм,1.556393
бесплатный,3.184425
обсудить,3.836501
предложение,1.68966
архив,2.120294
текущий,1.184425
событие,1.251539
актуальный,3.058894
тема,1.514573
вторжение,1.556393
украина,1.434403
операция,1.643856
страж,3.184425
процветание,3.836501
протест,2.395929
европейский,1.217591
фермер,4.058894
умерший,2.736966
здание,1.514573
крокус,3.643856
сити,3.058894
холл,3.058894
пожар,2.321928
вызвать,1.514573
теракт,2.473931
результат,0.68966
красногорск,3.643856
российский,0.666576
массировать,3.184425
ракетный,2.321928
удар,1.836501
украинский,2.0
энергосистема,3.836501
вывести,2.395929
строй,2.0
днепровский,3.473931
гэс,3.058894
харьковский,2.943416
тэц,3.836501
математик,2.556393
мишель,2.836501
талагран,4.643856
удостоить,3.058894
абелёвский,4.321928
премия,2.058894
достижение,2.0
область,0.621488
теория,1.888969
стохастический,4.321928
процесс,1.184425
владимир,1.68966
путин,2.643856
официально,1.943416
переизбрать,3.836501
срок,1.599462
двойной,3.184425
одесса,3.058894
ещ,0.043943
ранить,2.556393
парламент,1.736966
закон,1.184425
искусственный,2.836501
интеллект,3.836501
афиша,5.643856
концерт,3.321928
пьетро,4.643856
делла,4.643856
валле,5.058894
индия,1.836501
рим,2.556393
князь,2.395929
птр,3.058894
урусов,5.643856
привилегия,4.321928
содержание,0.234465
труппа,4.321928
петровский,4.321928
театр,1.943416
бирон,5.643856
отрчься,5.058894
курляндский,5.643856
престол,2.473931
венский,3.836501
филармонический,5.643856
оркестр,4.058894
анри,3.184425
фабра,5.643856
поднять,2.321928
марсель,3.643856
гидроплан,5.643856
переименовать,2.943416
стамбул,2.836501
лень,5.643856
рифеншталь,5.643856
берлинский,3.836501
публика,4.643856
триумф,4.058894
американский,1.556393
прокат,3.643856
триллер,4.321928
альфред,3.321928
хичкок,4.058894
птица,2.251539
совместный,2.184425
неделя,1.599462
приглашать,4.321928
великий,0.862496
рецессия,4.643856
воспитание,4.058894
аэропорт,2.058894
греция,1.785875
карелия,3.836501
конкурс,3.321928
феминизм,5.058894
фольклор,5.643856
викивесна,5.643856
родственный,2.556393
проект,0.168123
викимедиа,0.043943
расположить,1.251539
сервер,4.321928
фонд,0.058894
некоммерческий,0.074001
организация,0.074001
викисловарь,4.058894
словарь,1.184425
викицитатник,3.836501
цитата,3.643856
викиучебник,4.643856
учебник,3.184425
викитека,3.473931
текст,0.058894
викиновость,4.321928
викиверситет,5.058894
обучать,4.643856
викисклад,0.473931
хранилище,3.836501
медиафайл,0.888969
викигид,4.321928
путеводитель,4.321928
викидать,0.074001
база,1.785875
знание,3.058894
викивид,5.058894
биологический,3.184425
метавика,4.643856
координация,3.321928
сообщество,1.785875
медиавика,5.643856
викидвижок,5.058894
источник,0.043943
заглавнаястраница,5.643856
скрытый,2.943416
категория,0.074001
википедиястраница,2.395929
ежечасно,5.643856
очищать,5.058894
кэш,4.643856
википедиязаглавный,4.058894
персональный,0.043943
инструмент,0.043943
представиться,0.043943
система,1.029146
обсуждение,2.120294
вклад,2.556393
учтный,0.043943
запись,2.321928
войти,1.785875
пространство,0.043943
имн,0.043943
код,0.415037
история,0.340075
случайный,3.836501
сообщить,0.043943
ошибка,1.943416
править,0.043943
форум,3.184425
свежий,5.058894
правка,1.68966
служебный,3.643856
постоянный,2.251539
цитировать,4.058894
короткий,0.043943
скачать,0.043943
элемент,1.785875
печатьэкспорт,0.043943
печать,0.074001
многоязычный,4.643856
викифункция,5.643856
викимания,5.643856
башортс,3.058894
беларускать,3.473931
тарашкевец,4.058894
български,3.643856
нохчийна,5.058894
чваидти,3.836501
азаша,3.321928
ирон,2.120294
саха,2.943416
тыл,1.736966
српски,0.836501
татарча,2.321928
укранська,0.434403
отредактировать,0.074001
лицензия,0.058894
указание,0.074001
авторство,0.058894
сохранение,0.074001
отдельный,0.074001
действовать,0.074001
дополнительный,0.043943
подробный,0.074001
зарегистрировать,0.074001
товарный,0.074001
знак,0.058894
конфиденциальность,0.043943
описание,0.043943
отказ,0.043943
ответственность,0.043943
связаться,0.043943
кодекс,0.043943
поведение,0.043943
разработчик,0.043943
статистика,0.043943
заявление,0.043943
кук,0.043943
мобильный,0.043943
википедияпатрулирование,6.643856
вппатвппатэта,6.643856
относиться,1.358454
википедииизложенный,6.643856
участник,1.251539
убедиться,4.058894
вносить,3.643856
консенсус,3.836501
вкратце,6.643856
патрулировать,6.643856
отметка,3.058894
первичный,4.321928
проверка,2.395929
отсутствовать,2.321928
явный,3.184425
вандализм,4.643856
иной,2.058894
серьзный,2.395929
нарушение,2.120294
патрулирование,5.058894
памятка,6.643856
запрос,2.184425
автоподтвержднный,6.643856
динамика,4.643856
разбирать,4.321928
завал,3.836501
патрулированиипрограмма,6.643856
автоматизация,5.643856
полный,1.321928
орден,2.643856
заявка,3.836501
статус,1.358454
автопатрулировать,5.643856
качество,1.217591
приемлемый,5.643856
предоставить,2.473931
добросовестный,5.058894
необходимый,2.058894
опыт,2.643856
